,cv_idx,smote__sampling_strategy,train_score,test_score
0,99,<function _fit_score.<locals>.resampling at 0x7f17cbe85c80>,1.0,0.8464733047609555
1,99,<function _fit_score.<locals>.resampling at 0x7f17cbe85d08>,1.0,0.8557344097810559
2,0,<function _fit_score.<locals>.resampling at 0x7f17cbeb2620>,1.0,0.8090240047416773
3,0,<function _fit_score.<locals>.resampling at 0x7f17cbeb26a8>,1.0,0.8244920807402286
4,1,<function _fit_score.<locals>.resampling at 0x7f17cbeb2598>,1.0,0.8658829727682835
5,1,<function _fit_score.<locals>.resampling at 0x7f17cbeb2b70>,1.0,0.840725740063881
6,2,<function _fit_score.<locals>.resampling at 0x7f17cbeb2730>,1.0,0.8113701471895682
7,2,<function _fit_score.<locals>.resampling at 0x7f17cbeb27b8>,1.0,0.8831703381737956
8,3,<function _fit_score.<locals>.resampling at 0x7f17cbeb2ea0>,1.0,0.8402153511804801
9,3,<function _fit_score.<locals>.resampling at 0x7f17cbeb2f28>,1.0,0.8698261384964932
10,4,<function _fit_score.<locals>.resampling at 0x7f17cbeb2840>,1.0,0.8485956073627713
11,4,<function _fit_score.<locals>.resampling at 0x7f17cbeb28c8>,1.0,0.8305261944746287
12,5,<function _fit_score.<locals>.resampling at 0x7f17cbe59158>,1.0,0.8695544798972636
13,5,<function _fit_score.<locals>.resampling at 0x7f17cbe591e0>,1.0,0.8556669630215022
14,6,<function _fit_score.<locals>.resampling at 0x7f17cbeb2bf8>,1.0,0.8703857114454239
15,6,<function _fit_score.<locals>.resampling at 0x7f17cbe59048>,1.0,0.8733348797136987
16,7,<function _fit_score.<locals>.resampling at 0x7f17cbeb2950>,1.0,0.8522764928093313
17,7,<function _fit_score.<locals>.resampling at 0x7f17cbeb29d8>,1.0,0.8604612631718472
18,8,<function _fit_score.<locals>.resampling at 0x7f17cbeb2a60>,1.0,0.8464733047609555
19,8,<function _fit_score.<locals>.resampling at 0x7f17cbeb2ae8>,1.0,0.8404515100169441
20,9,<function _fit_score.<locals>.resampling at 0x7f17cbeb2c80>,1.0,0.8188394963287817
21,9,<function _fit_score.<locals>.resampling at 0x7f17cbeb2d08>,1.0,0.8069537193926708
22,10,<function _fit_score.<locals>.resampling at 0x7f17cbe59378>,1.0,0.8373258915341303
23,10,<function _fit_score.<locals>.resampling at 0x7f17cbe59400>,1.0,0.8564490105041326
24,11,<function _fit_score.<locals>.resampling at 0x7f17cbe59268>,1.0,0.8433435411110015
25,11,<function _fit_score.<locals>.resampling at 0x7f17cbe592f0>,1.0,0.8588116171095526
26,12,<function _fit_score.<locals>.resampling at 0x7f17cbeb2d90>,1.0,0.8580131054693931
27,12,<function _fit_score.<locals>.resampling at 0x7f17cbeb2e18>,1.0,0.8409973986631103
28,13,<function _fit_score.<locals>.resampling at 0x7f17cbe59488>,1.0,0.8276367348282789
29,13,<function _fit_score.<locals>.resampling at 0x7f17cbe59510>,1.0,0.831308241957259
30,14,<function _fit_score.<locals>.resampling at 0x7f17cbe598c8>,1.0,0.8370542329349008
31,14,<function _fit_score.<locals>.resampling at 0x7f17cbe59950>,1.0,0.8889327933089665
32,15,<function _fit_score.<locals>.resampling at 0x7f17cbe59598>,1.0,0.8666485560933846
33,15,<function _fit_score.<locals>.resampling at 0x7f17cbe59620>,1.0,0.873991570351345
34,16,<function _fit_score.<locals>.resampling at 0x7f17cbe590d0>,1.0,0.8494267347074028
35,16,<function _fit_score.<locals>.resampling at 0x7f17cbe596a8>,1.0,0.8619855523891577
36,17,<function _fit_score.<locals>.resampling at 0x7f17cbe59bf8>,1.0,0.8385247531314203
37,17,<function _fit_score.<locals>.resampling at 0x7f17cbe59c80>,1.0,0.8303399827689045
38,18,<function _fit_score.<locals>.resampling at 0x7f17cbe59d08>,1.0,0.855576597229144
39,18,<function _fit_score.<locals>.resampling at 0x7f17cbe59d90>,1.0,0.8634506129771754
40,19,<function _fit_score.<locals>.resampling at 0x7f17cbe59ae8>,1.0,0.8825957673012392
41,19,<function _fit_score.<locals>.resampling at 0x7f17cbe59b70>,1.0,0.8631432937971362
