,cv_idx,smote__sampling_strategy,train_score,test_score
0,99,<function _fit_score.<locals>.resampling at 0x7f17cbefac80>,1.0,0.725
1,99,<function _fit_score.<locals>.resampling at 0x7f17cbefad08>,1.0,0.7627363737486095
2,99,<function _fit_score.<locals>.resampling at 0x7f17cbefad90>,1.0,0.7419911012235817
3,99,<function _fit_score.<locals>.resampling at 0x7f17cbefae18>,1.0,0.7529477196885428
4,99,<function _fit_score.<locals>.resampling at 0x7f17cbefaea0>,1.0,0.7431590656284761
5,0,<function _fit_score.<locals>.resampling at 0x7f17cbee18c8>,1.0,0.8145917001338688
6,0,<function _fit_score.<locals>.resampling at 0x7f17cbff8e18>,1.0,0.8718684260852936
7,0,<function _fit_score.<locals>.resampling at 0x7f17cbff81e0>,1.0,0.8446165614840313
8,0,<function _fit_score.<locals>.resampling at 0x7f17cbff8268>,1.0,0.8139223560910308
9,0,<function _fit_score.<locals>.resampling at 0x7f17cbff82f0>,1.0,0.8718684260852936
10,1,<function _fit_score.<locals>.resampling at 0x7f17cc0e8c80>,1.0,0.8330464716006885
11,1,<function _fit_score.<locals>.resampling at 0x7f17cbff8f28>,1.0,0.8075157773952956
12,1,<function _fit_score.<locals>.resampling at 0x7f17cbff8488>,1.0,0.7899215911264104
13,1,<function _fit_score.<locals>.resampling at 0x7f17cbff8ea0>,1.0,0.7547332185886403
14,1,<function _fit_score.<locals>.resampling at 0x7f17cbff88c8>,1.0,0.7918340026773762
15,2,<function _fit_score.<locals>.resampling at 0x7f17cbee1400>,1.0,0.7837062535857717
16,2,<function _fit_score.<locals>.resampling at 0x7f17cbee1d90>,1.0,0.7555938037865748
17,2,<function _fit_score.<locals>.resampling at 0x7f17cbee1d08>,1.0,0.7485178810480015
18,2,<function _fit_score.<locals>.resampling at 0x7f17cbee1c80>,1.0,0.8096194301013578
19,2,<function _fit_score.<locals>.resampling at 0x7f17cbee1bf8>,1.0,0.7961369286670492
20,3,<function _fit_score.<locals>.resampling at 0x7f17cbee16a8>,1.0,0.7731879900554599
21,3,<function _fit_score.<locals>.resampling at 0x7f17cbee1378>,1.0,0.7819850831899025
22,3,<function _fit_score.<locals>.resampling at 0x7f17cbee12f0>,1.0,0.7669726525148213
23,3,<function _fit_score.<locals>.resampling at 0x7f17cbee11e0>,1.0,0.7847580799388028
24,3,<function _fit_score.<locals>.resampling at 0x7f17cbee1158>,1.0,0.7581755593803786
25,4,<function _fit_score.<locals>.resampling at 0x7f17cbff8d08>,1.0,0.7395295467584624
26,4,<function _fit_score.<locals>.resampling at 0x7f17cc051158>,1.0,0.7899215911264104
27,4,<function _fit_score.<locals>.resampling at 0x7f17cc0510d0>,1.0,0.7811244979919678
28,4,<function _fit_score.<locals>.resampling at 0x7f17cc051048>,1.0,0.7643908969210174
29,4,<function _fit_score.<locals>.resampling at 0x7f17cc051488>,1.0,0.6877988143048385
30,5,<function _fit_score.<locals>.resampling at 0x7f17cbff8d90>,1.0,0.7509176863181313
31,5,<function _fit_score.<locals>.resampling at 0x7f17cbff8158>,1.0,0.7589822024471635
32,5,<function _fit_score.<locals>.resampling at 0x7f17cbff8840>,1.0,0.7866240266963292
33,5,<function _fit_score.<locals>.resampling at 0x7f17cbff87b8>,1.0,0.7711067853170189
34,5,<function _fit_score.<locals>.resampling at 0x7f17cbff8400>,1.0,0.7708008898776418
35,6,<function _fit_score.<locals>.resampling at 0x7f17cbee10d0>,1.0,0.7350945494994439
36,6,<function _fit_score.<locals>.resampling at 0x7f17cbee1620>,1.0,0.7146551724137931
37,6,<function _fit_score.<locals>.resampling at 0x7f17cbee1598>,1.0,0.7486373748609566
38,6,<function _fit_score.<locals>.resampling at 0x7f17cbee1510>,1.0,0.7486373748609566
39,6,<function _fit_score.<locals>.resampling at 0x7f17cbee1488>,1.0,0.8079810901001113
40,7,<function _fit_score.<locals>.resampling at 0x7f17cbf3da60>,1.0,0.7661846496106786
41,7,<function _fit_score.<locals>.resampling at 0x7f17cbfec400>,1.0,0.7543659621802001
